YXMS,ZBY,ZS1,ZY,ZS
-1,2,"3,190","3,130",-1
11,10.5,67,50,3.434110794
11,11,67,45,1.922485352
10,18,117,200,5.151169245
10,11,73,80,0.708575813
10,12,73,80,1.086257935
10,13,117,80,1.058823529
10,10,73,80,0.853545943
10,12,73,80,0.703638665
10,18,117,220,3.742250307
10,11,73,80,0.708575813
10,12,73,80,1.086257935
10,13,117,80,1.058823529
10,13,117,80,0.853543217
10,12,73,80,0.703638648
9,18,117,50,1.558441599
8,6,60,60,4.733398438
8,18,60,180,6.746208685
7,18,60,180,6.950847939
6,6,60,60,3.154269694
6,18,60,180,7.706277902
6,17,127,140,10.02430631
6,3,92,50,6.239976607
6,3,92,50,5.70000228
6,3,92,50,5.519938
6,3,92,50,7.230788011
6,3,92,50,14.25
6,6,60,60,3.066650391
5,18,60,180,8.608142691
4,11,67,50,0.615384615
4,18,117,80,0.521531325
4,18,117,30,1.403917592
4,19,117,30,1.263636364
4,18,117,30,0.839745893
3,16,117,150,3.675329861
3,18,117,150,3.339322551
3,18,117,150,4.077446269
3,18,117,150,3.355703766
3,9,67,60,0.34843871
3,9,67,60,1.108237592
3,9,67,60,0.911613218
3,6,60,60,2.350036621
3,6,60,60,2.350036621
3,6,60,60,4.733398438
3,9,67,40,1.51852597
3,9,67,45,1.600810547
3,9,67,45,11.02273996
3,9,67,45,0.480014143
3,9,67,45,0.87783731
3,9,67,45,0.443486753
3,9,67,45,1.487356089
3,9,67,45,0.952945486
3,9,67,45,0.603002936
3,9,67,45,2.179992676
3,9,67,45,0.611834782
3,9,67,45,1.777496782
3,9,67,45,1.019989077
3,10,67,45,1.591677132
3,10,67,50,0.808007813
3,10,67,50,1.806202868
3,10.5,67,50,0.844286539
3,11,67,50,2.379964193
3,11,67,45,1.340782763
3,15,117,150,85
3,16,117,150,50
3,16,117,150,58
3,11,117,150,344
3,17,117,150,70
3,9,67,60,206
3,18,117,150,73
3,18,117,150,65
2,15,117,50,4.542562655
2,17,117,150,3.109205345
2,18,117,170,2.61682243
2,9,67,60,1.256287381
2,9,67,50,2.487304985
2,10,67,50,1.806281932
2,10,67,50,3.427224723
1,13,67,80,4.42530115
1,15,117,150,7.583696949
1,18,117,150,12.16981341
1,18,206,200,4.500886267
1,19,206,200,7.157201254
1,18,117,150,5.062773463
1,16,117,150,1.8139635
1,17,117,150,4.43812954
1,11,117,30,0.630017287
1,11,67,150,2.319824219
1,11,67,150,0.973605606
1,9,67,60,1.45275083
1,9,67,60,2.054261852
1,8,120,120,12.53493988
1,18,120,160,18.37688442
1,18,120,180,16.03991866
1,18,60,180,6.042253691
1,17,117,50,2.545925847
1,17,117,50,3.081801681
1,18,117,50,6.800690692
1,18,117,150,12.71796585
1,18,73,50,3.042450558
1,18,117,250,3.901022921
1,18,117,250,4.059164719
1,18,117,220,3.781094527
1,18,117,200,6.576840049
1,18,73,220,4.188901076
1,10,92,50,14.85600238
1,17.5,127,120,19.59329633
1,18,127,120,16.75230781
1,16,127,140,8.601539025
1,9,67,40,0.348438677
1,9,67,40,1.063494884
1,9,67,40,2.176676432
1,9,67,40,1.162506104
1,9,67,40,1.782573108
1,9,67,40,2.275195316
1,9,67,40,0.125
1,9,67,40,1.506929839
1,9,67,40,0.797154018
1,9,67,40,0.766318873
1,9,67,45,1.440005096
1,9,67,45,1.637988281
1,9,67,45,0.543161493
1,9,67,45,1.836942234
1,9,67,45,1.177496456
1,10,67,45,0.976598866
